SiteEnergyUse(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2),GHGEmissions(MetricTonsCO2e)_log,SiteEnergyUse(kBtu)_log
2196718.0,64.75,1.13,4.185859671057874,14.602475441502515
340270.0,6.58,0.09,2.0255131996542803,12.73749763793318
992738.0,29.02,0.51,3.401863826205316,13.8082230685997
5375518.0,38.08,0.24,3.6656108271745818,15.4973656854561
2855545.0,76.67,1.06,4.352469082431556,14.864773626220128
5917000.0,47.78,0.22,3.887320392787774,15.59334029066338
4904803.0,34.19,0.15,3.5607619513334936,15.40572569095793
3228330.0,70.96,0.63,4.2761104090823325,14.987475843387697
5424718.0,37.82,0.1,3.658935577740864,15.50647665881425
7133767.0,115.76,0.3,4.760120545985914,15.780350124046974
6796335.0,47.38,0.21,3.8790865051818813,15.731894201399358
1012341.0,21.57,0.36,3.1166215908294443,13.827777016403143
1738376.0,42.41,0.27,3.770689829311502,14.368462477279998
1060850.0,40.65,0.78,3.7293013686128518,13.874581974181154
6576563.0,88.66,0.38,4.496024738727294,15.69902297846378
6991476.0,48.74,0.12,3.9068094383752587,15.760202393748699
960753.0,17.94,0.14,2.9412760877579323,13.775473671832422
1998767.0,21.6,0.26,3.1179499062782403,14.508041548718268
3373582.0,66.32,1.12,4.209457369322605,15.031485942274449
6083307.0,42.41,0.06,3.770689829311502,15.621059184932433
2666634.0,105.32,2.01,4.66645341440499,14.796327935905492
3022275.0,21.92,0.12,3.132009891846539,14.92152074788934
2792236.0,41.15,0.32,3.7412346844478646,14.84235362464866
3129811.0,49.68,0.73,3.925531355452938,14.956483496814664
6832991.0,47.64,0.19,3.8844462376579116,15.73727320297341
1226435.0,8.55,0.04,2.256541154492639,14.019622960316351
1990444.0,28.88,0.14,3.3971893602646164,14.503868789792328
1992690.0,13.8,0.07,2.6946271807700692,14.504996544525305
6863561.0,130.62,1.09,4.879918983027973,15.741737106925104
2742111.0,19.12,0.1,3.0017143452315387,14.824238984367957
2003759.0,64.67,0.79,4.184642200202881,14.510535973535992
2392466.0,31.89,0.27,3.4931686602009657,14.687835609110673
7319546.0,119.2,0.57,4.789157022101107,15.806058998776622
